Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 05-May-2025 at 14:08:55.
Created 05-May-2025 14:08:55.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.73104E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.2250	 	 	 	 	 0.012168
 0.2500	-0.001260	 0.001672	-0.000231	 0.000449	 0.012397
 0.2750	 	 	 	 	 0.010414
 0.3000	-0.000937	 0.011012	-0.000161	 0.002272	 0.006205
 0.3250	 	 	 	 	-0.010578
 0.3500	-0.000231	 0.016507	-0.000021	 0.003192	-0.029385
 0.3750	 	 	 	 	-0.050108
 0.4000	 0.000536	 0.013284	 0.000124	 0.002465	-0.067053
 0.4250	 	 	 	 	-0.079987
 0.4500	 0.000870	-0.000436	 0.000188	 0.000070	-0.084508
 0.4750	 	 	 	 	-0.080412
 0.5000	 0.000270	-0.022532	 0.000103	-0.003264	-0.069199
 0.5250	 	 	 	 	-0.049177
 0.5500	-0.001302	-0.036415	-0.000120	-0.005193	-0.028877
 0.5750	 	 	 	 	-0.003398
 0.6000	-0.002626	-0.011745	-0.000338	-0.003175	 0.010379
 0.6250	 	 	 	 	 0.011170
 0.6500	-0.001404	 0.056305	-0.000353	 0.002179	-0.003896
 0.6750	 	 	 	 	-0.040422
 0.7000	 0.002067	 0.067219	-0.000146	 0.005450	-0.071920
 0.7250	 	 	 	 	-0.096789
 0.7500	 0.003025	-0.034420	 0.000129	 0.005341	-0.087896
 0.7750	 	 	 	 	-0.036955
 0.8000	-0.001232	-0.110029	 0.000340	 0.003162	 0.028074
 0.8250	 	 	 	 	 0.098820
 0.8500	-0.004318	 0.007961	 0.000407	-0.000569	 0.132882
 0.8750	 	 	 	 	 0.121943
 0.9000	 0.001154	 0.176983	 0.000175	-0.008594	 0.069060
 0.9250	 	 	 	 	-0.005321
 0.9500	 0.007610	 0.038227	-0.000430	-0.015057	-0.018910
 0.9750	 	 	 	 	 0.214868
 1.0000	-0.019750	-0.803607	-0.001427	-0.022201	 0.373512


 -------- Mode No.  13  (freq = 0.19228E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000982
 0.0500	-0.000089	-0.003337	-0.000179	-0.006688	 0.001947
 0.0750	 	 	 	 	 0.003174
 0.1000	-0.000323	-0.005746	-0.000612	-0.010327	 0.004309
 0.1250	 	 	 	 	 0.006547
 0.1500	-0.000620	-0.005645	-0.001140	-0.010237	 0.008437
 0.1750	 	 	 	 	 0.010552
 0.2000	-0.000801	-0.001299	-0.001496	-0.003497	 0.011760
 0.2250	 	 	 	 	 0.011925
 0.2500	-0.000698	 0.005375	-0.001437	 0.006005	 0.010691
 0.2750	 	 	 	 	 0.003701
 0.3000	-0.000265	 0.011117	-0.000896	 0.015382	-0.005493
 0.3250	 	 	 	 	-0.034312
 0.3500	 0.000252	 0.008318	 0.000007	 0.020147	-0.060330
 0.3750	 	 	 	 	-0.081950
 0.4000	 0.000371	-0.004229	 0.000933	 0.016359	-0.092371
 0.4250	 	 	 	 	-0.090905
 0.4500	-0.000276	-0.020717	 0.001465	 0.004769	-0.078403
 0.4750	 	 	 	 	-0.056892
 0.5000	-0.001542	-0.026578	 0.001302	-0.010838	-0.035953
 0.5250	 	 	 	 	-0.017209
 0.5500	-0.002284	-0.000024	 0.000438	-0.022948	-0.012218
 0.5750	 	 	 	 	-0.026584
 0.6000	-0.000908	 0.049549	-0.000848	-0.027664	-0.055485
 0.6250	 	 	 	 	-0.104780
 0.6500	 0.001698	 0.037959	-0.002066	-0.020419	-0.139430
 0.6750	 	 	 	 	-0.153096
 0.7000	 0.001072	-0.060224	-0.002509	 0.003628	-0.126103
 0.7250	 	 	 	 	-0.042297
 0.7500	-0.003004	-0.071112	-0.001307	 0.042852	 0.034435
 0.7750	 	 	 	 	 0.088836
 0.8000	-0.002470	 0.093090	 0.001408	 0.060394	 0.082496
 0.8250	 	 	 	 	 0.023201
 0.8500	 0.003768	 0.107547	 0.003807	 0.030980	-0.031478
 0.8750	 	 	 	 	-0.051036
 0.9000	 0.002596	-0.148951	 0.002909	-0.066694	 0.020876
 0.9250	 	 	 	 	 0.181166
 0.9500	-0.006937	-0.147614	-0.002795	-0.152474	 0.264643
 0.9750	 	 	 	 	 0.152819
 1.0000	 0.016269	 0.747993	-0.013754	-0.249574	 0.001262


 -------- Mode No.  14  (freq = 0.19548E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000863
 0.0500	-0.000172	-0.006409	 0.000177	 0.006629	 0.001710
 0.0750	 	 	 	 	 0.002785
 0.1000	-0.000601	-0.010381	 0.000597	 0.009880	 0.003771
 0.1250	 	 	 	 	 0.005691
 0.1500	-0.001133	-0.010193	 0.001098	 0.009701	 0.007273
 0.1750	 	 	 	 	 0.008943
 0.2000	-0.001473	-0.002894	 0.001437	 0.003395	 0.009726
 0.2250	 	 	 	 	 0.009399
 0.2500	-0.001353	 0.007706	 0.001401	-0.005049	 0.007705
 0.2750	 	 	 	 	-0.000568
 0.3000	-0.000705	 0.017393	 0.000934	-0.013716	-0.011026
 0.3250	 	 	 	 	-0.043347
 0.3500	 0.000192	 0.016987	 0.000072	-0.020502	-0.072314
 0.3750	 	 	 	 	-0.096101
 0.4000	 0.000719	 0.003141	-0.000969	-0.020658	-0.106983
 0.4250	 	 	 	 	-0.103708
 0.4500	 0.000317	-0.018412	-0.001808	-0.012304	-0.087047
 0.4750	 	 	 	 	-0.058435
 0.5000	-0.001027	-0.031693	-0.002006	 0.004946	-0.029089
 0.5250	 	 	 	 	 0.000925
 0.5500	-0.002169	-0.009856	-0.001204	 0.026830	 0.015817
 0.5750	 	 	 	 	 0.012845
 0.6000	-0.001195	 0.044384	 0.000640	 0.044587	-0.010097
 0.6250	 	 	 	 	-0.058499
 0.6500	 0.001523	 0.046366	 0.002773	 0.037462	-0.098032
 0.6750	 	 	 	 	-0.123631
 0.7000	 0.001413	-0.050938	 0.003660	-0.002912	-0.107185
 0.7250	 	 	 	 	-0.034128
 0.7500	-0.002571	-0.076132	 0.001976	-0.060617	 0.038554
 0.7750	 	 	 	 	 0.093102
 0.8000	-0.002495	 0.083115	-0.001814	-0.083866	 0.087611
 0.8250	 	 	 	 	 0.026402
 0.8500	 0.003518	 0.108654	-0.005174	-0.044580	-0.033709
 0.8750	 	 	 	 	-0.066582
 0.9000	 0.002593	-0.143284	-0.004075	 0.088830	-0.005477
 0.9250	 	 	 	 	 0.146284
 0.9500	-0.006898	-0.151229	 0.003688	 0.209448	 0.226934
 0.9750	 	 	 	 	 0.111029
 1.0000	 0.015450	 0.725777	 0.018966	 0.349051	-0.042176


 -------- Mode No.  15  (freq = 0.21193E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000244
 0.0500	-0.000113	-0.004158	 0.000380	 0.013872	-0.000484
 0.0750	 	 	 	 	-0.000793
 0.1000	-0.000387	-0.006524	 0.001281	 0.021153	-0.001093
 0.1250	 	 	 	 	-0.001747
 0.1500	-0.000738	-0.007033	 0.002408	 0.022272	-0.002409
 0.1750	 	 	 	 	-0.003440
 0.2000	-0.001036	-0.004489	 0.003347	 0.013686	-0.004540
 0.2250	 	 	 	 	-0.006007
 0.2500	-0.001139	 0.000447	 0.003608	-0.003718	-0.007626
 0.2750	 	 	 	 	-0.012815
 0.3000	-0.000948	 0.007000	 0.002827	-0.026826	-0.018415
 0.3250	 	 	 	 	-0.034993
 0.3500	-0.000470	 0.011275	 0.000944	-0.046483	-0.050227
 0.3750	 	 	 	 	-0.063947
 0.4000	 0.000071	 0.009444	-0.001588	-0.051981	-0.072267
 0.4250	 	 	 	 	-0.074749
 0.4500	 0.000354	 0.001459	-0.003906	-0.037666	-0.070163
 0.4750	 	 	 	 	-0.058515
 0.5000	 0.000149	-0.009002	-0.004958	-0.001899	-0.043648
 0.5250	 	 	 	 	-0.023724
 0.5500	-0.000403	-0.011302	-0.003898	 0.045060	-0.007021
 0.5750	 	 	 	 	 0.010596
 0.6000	-0.000637	 0.002371	-0.000488	 0.088948	 0.018408
 0.6250	 	 	 	 	 0.017783
 0.6500	-0.000041	 0.016910	 0.004126	 0.090908	 0.010970
 0.6750	 	 	 	 	 0.000287
 0.7000	 0.000465	 0.000086	 0.007095	 0.024682	-0.002726
 0.7250	 	 	 	 	 0.006274
 0.7500	-0.000190	-0.019542	 0.005111	-0.098830	 0.020636
 0.7750	 	 	 	 	 0.034932
 0.8000	-0.000571	 0.009027	-0.001976	-0.169290	 0.035179
 0.8250	 	 	 	 	 0.018189
 0.8500	 0.000552	 0.025331	-0.009132	-0.102434	-0.003942
 0.8750	 	 	 	 	-0.032389
 0.9000	 0.000545	-0.028545	-0.007273	 0.177712	-0.036239
 0.9250	 	 	 	 	-0.017485
 0.9500	-0.001686	-0.040184	 0.008869	 0.440354	-0.006466
 0.9750	 	 	 	 	-0.054419
 1.0000	 0.002693	 0.148422	 0.041479	 0.741783	-0.098634


 -------- Mode No.  16  (freq = 0.21937E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000263
 0.0500	 0.000001	 0.000019	 0.000000	 0.000000	-0.000521
 0.0750	 	 	 	 	-0.000850
 0.1000	 0.000001	-0.000026	 0.000000	-0.000011	-0.001159
 0.1250	 	 	 	 	-0.001797
 0.1500	-0.000005	-0.000236	-0.000002	-0.000053	-0.002388
 0.1750	 	 	 	 	-0.003199
 0.2000	-0.000026	-0.000599	-0.000006	-0.000122	-0.003930
 0.2250	 	 	 	 	-0.004725
 0.2500	-0.000066	-0.001026	-0.000014	-0.000198	-0.005431
 0.2750	 	 	 	 	-0.007312
 0.3000	-0.000129	-0.001538	-0.000026	-0.000275	-0.009097
 0.3250	 	 	 	 	-0.014064
 0.3500	-0.000217	-0.002061	-0.000040	-0.000318	-0.018799
 0.3750	 	 	 	 	-0.023847
 0.4000	-0.000330	-0.002498	-0.000056	-0.000308	-0.028521
 0.4250	 	 	 	 	-0.033674
 0.4500	-0.000458	-0.002628	-0.000069	-0.000204	-0.038616
 0.4750	 	 	 	 	-0.044486
 0.5000	-0.000577	-0.002212	-0.000074	 0.000021	-0.050792
 0.5250	 	 	 	 	-0.059525
 0.5500	-0.000668	-0.001651	-0.000066	 0.000275	-0.068515
 0.5750	 	 	 	 	-0.082292
 0.6000	-0.000765	-0.002623	-0.000048	 0.000389	-0.094726
 0.6250	 	 	 	 	-0.110680
 0.6500	-0.000967	-0.005220	-0.000032	 0.000291	-0.123139
 0.6750	 	 	 	 	-0.137679
 0.7000	-0.001193	-0.002915	-0.000019	 0.000225	-0.147384
 0.7250	 	 	 	 	-0.156598
 0.7500	-0.001106	 0.006128	-0.000010	 0.000135	-0.158888
 0.7750	 	 	 	 	-0.151385
 0.8000	-0.000651	 0.010512	-0.000008	-0.000039	-0.132584
 0.8250	 	 	 	 	-0.094395
 0.8500	-0.000179	 0.009193	-0.000012	-0.000085	-0.046419
 0.8750	 	 	 	 	 0.051519
 0.9000	 0.000458	 0.018350	-0.000011	 0.000169	 0.139236
 0.9250	 	 	 	 	 0.238150
 0.9500	 0.001586	 0.023007	 0.000006	 0.000466	 0.301496
 0.9750	 	 	 	 	 0.515934
 1.0000	 0.001483	-0.013246	 0.000041	 0.000801	 0.600044


 -------- Mode No.  17  (freq = 0.24248E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001451
 0.0500	 0.000131	 0.004799	 0.000036	 0.001308	-0.002862
 0.0750	 	 	 	 	-0.004621
 0.1000	 0.000444	 0.007311	 0.000120	 0.001975	-0.006191
 0.1250	 	 	 	 	-0.009140
 0.1500	 0.000774	 0.005203	 0.000210	 0.001427	-0.011465
 0.1750	 	 	 	 	-0.013745
 0.2000	 0.000850	-0.002508	 0.000233	-0.000614	-0.014621
 0.2250	 	 	 	 	-0.013846
 0.2500	 0.000503	-0.011010	 0.000144	-0.002858	-0.011355
 0.2750	 	 	 	 	-0.000791
 0.3000	-0.000164	-0.014374	-0.000031	-0.003809	 0.010664
 0.3250	 	 	 	 	 0.039357
 0.3500	-0.000691	-0.005384	-0.000180	-0.001887	 0.056579
 0.3750	 	 	 	 	 0.058456
 0.4000	-0.000543	 0.010836	-0.000182	 0.001731	 0.043088
 0.4250	 	 	 	 	 0.010680
 0.4500	 0.000282	 0.019375	-0.000024	 0.004119	-0.025609
 0.4750	 	 	 	 	-0.060881
 0.5000	 0.000901	 0.002209	 0.000154	 0.002550	-0.080575
 0.5250	 	 	 	 	-0.082414
 0.5500	-0.000034	-0.036304	 0.000155	-0.002119	-0.066053
 0.5750	 	 	 	 	-0.029134
 0.6000	-0.002090	-0.033907	-0.000022	-0.004025	-0.003401
 0.6250	 	 	 	 	-0.001873
 0.6500	-0.001598	 0.050405	-0.000133	-0.000592	-0.036898
 0.6750	 	 	 	 	-0.120291
 0.7000	 0.001406	 0.043459	-0.000123	 0.000213	-0.181522
 0.7250	 	 	 	 	-0.201194
 0.7500	 0.000058	-0.085673	-0.000132	 0.000023	-0.148098
 0.7750	 	 	 	 	-0.033825
 0.8000	-0.003575	-0.015749	-0.000056	 0.003181	 0.042711
 0.8250	 	 	 	 	 0.048117
 0.8500	 0.000609	 0.144393	 0.000144	 0.004068	-0.005925
 0.8750	 	 	 	 	-0.091048
 0.9000	 0.003774	-0.061727	 0.000210	-0.001871	-0.057021
 0.9250	 	 	 	 	 0.140671
 0.9500	-0.005307	-0.194872	-0.000073	-0.008634	 0.292127
 0.9750	 	 	 	 	 0.397142
 1.0000	 0.012668	 0.640054	-0.000769	-0.016292	 0.294159


 -------- Mode No.  18  (freq = 0.27879E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000374
 0.0500	-0.000116	-0.004215	 0.000531	 0.019329	-0.000735
 0.0750	 	 	 	 	-0.001181
 0.1000	-0.000371	-0.005722	 0.001700	 0.026142	-0.001578
 0.1250	 	 	 	 	-0.002338
 0.1500	-0.000624	-0.004033	 0.002833	 0.017303	-0.002972
 0.1750	 	 	 	 	-0.003707
 0.2000	-0.000691	 0.001571	 0.003044	-0.009900	-0.004213
 0.2250	 	 	 	 	-0.004555
 0.2500	-0.000478	 0.006922	 0.001907	-0.035101	-0.004668
 0.2750	 	 	 	 	-0.004656
 0.3000	-0.000039	 0.010394	-0.000202	-0.047530	-0.004609
 0.3250	 	 	 	 	-0.004531
 0.3500	 0.000464	 0.009143	-0.002350	-0.035951	-0.004084
 0.3750	 	 	 	 	-0.002253
 0.4000	 0.000756	 0.002180	-0.003316	-0.001440	 0.001859
 0.4250	 	 	 	 	 0.009874
 0.4500	 0.000620	-0.007278	-0.002332	 0.039776	 0.020315
 0.4750	 	 	 	 	 0.033469
 0.5000	 0.000095	-0.012239	 0.000390	 0.065674	 0.044768
 0.5250	 	 	 	 	 0.053516
 0.5500	-0.000332	-0.003445	 0.003488	 0.054068	 0.054007
 0.5750	 	 	 	 	 0.042304
 0.6000	-0.000029	 0.013147	 0.004709	-0.007672	 0.023886
 0.6250	 	 	 	 	-0.003398
 0.6500	 0.000521	 0.003691	 0.002174	-0.089057	-0.019087
 0.6750	 	 	 	 	-0.020463
 0.7000	 0.000050	-0.017453	-0.003452	-0.122379	-0.007053
 0.7250	 	 	 	 	 0.017085
 0.7500	-0.000367	 0.005738	-0.007528	-0.027474	 0.025005
 0.7750	 	 	 	 	 0.012095
 0.8000	 0.000488	 0.016637	-0.004557	 0.138794	-0.006470
 0.8250	 	 	 	 	-0.015492
 0.8500	 0.000201	-0.025738	 0.004433	 0.195538	-0.004584
 0.8750	 	 	 	 	 0.028110
 0.9000	-0.000771	 0.002890	 0.009580	-0.020093	 0.035061
 0.9250	 	 	 	 	-0.002925
 0.9500	 0.001037	 0.045417	-0.000567	-0.360249	-0.042270
 0.9750	 	 	 	 	-0.098401
 1.0000	-0.002420	-0.131079	-0.035565	-0.846214	-0.083533


 -------- Mode No.  19  (freq = 0.29610E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001578
 0.0500	 0.000122	 0.004417	 0.000018	 0.000667	-0.003094
 0.0750	 	 	 	 	-0.004928
 0.1000	 0.000397	 0.006104	 0.000061	 0.000945	-0.006478
 0.1250	 	 	 	 	-0.009152
 0.1500	 0.000631	 0.002621	 0.000095	 0.000325	-0.010980
 0.1750	 	 	 	 	-0.012182
 0.2000	 0.000567	-0.005312	 0.000079	-0.000996	-0.011746
 0.2250	 	 	 	 	-0.009305
 0.2500	 0.000131	-0.011462	 0.000001	-0.001970	-0.005435
 0.2750	 	 	 	 	 0.007319
 0.3000	-0.000426	-0.009398	-0.000088	-0.001325	 0.018245
 0.3250	 	 	 	 	 0.036825
 0.3500	-0.000599	 0.002938	-0.000096	 0.001063	 0.037418
 0.3750	 	 	 	 	 0.018235
 0.4000	-0.000152	 0.013073	 0.000006	 0.002646	-0.012390
 0.4250	 	 	 	 	-0.048357
 0.4500	 0.000394	 0.006101	 0.000111	 0.001124	-0.070659
 0.4750	 	 	 	 	-0.073643
 0.5000	 0.000072	-0.017779	 0.000064	-0.002754	-0.056667
 0.5250	 	 	 	 	-0.020893
 0.5500	-0.001083	-0.020814	-0.000121	-0.003734	 0.009798
 0.5750	 	 	 	 	 0.029307
 0.6000	-0.000894	 0.028258	-0.000191	 0.000899	 0.015819
 0.6250	 	 	 	 	-0.034482
 0.6500	 0.001142	 0.031450	-0.000048	 0.003574	-0.074013
 0.6750	 	 	 	 	-0.077398
 0.7000	 0.000329	-0.055712	 0.000077	 0.001578	-0.025249
 0.7250	 	 	 	 	 0.086191
 0.7500	-0.001751	 0.004037	 0.000132	 0.000852	 0.138562
 0.7750	 	 	 	 	 0.097837
 0.8000	 0.001562	 0.085540	 0.000121	-0.001791	 0.009740
 0.8250	 	 	 	 	-0.057470
 0.8500	 0.001621	-0.088797	-0.000055	-0.004651	-0.028555
 0.8750	 	 	 	 	 0.119686
 0.9000	-0.002875	-0.014298	-0.000210	-0.000466	 0.174374
 0.9250	 	 	 	 	 0.027896
 0.9500	 0.003799	 0.183905	-0.000011	 0.007696	-0.154247
 0.9750	 	 	 	 	-0.515469
 1.0000	-0.010061	-0.537213	 0.000758	 0.018701	-0.494694


 -------- Mode No.  20  (freq = 0.31683E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001129
 0.0500	-0.000006	-0.000237	-0.000002	-0.000083	-0.002209
 0.0750	 	 	 	 	-0.003527
 0.1000	-0.000025	-0.000556	-0.000008	-0.000164	-0.004680
 0.1250	 	 	 	 	-0.006878
 0.1500	-0.000067	-0.001123	-0.000019	-0.000272	-0.008744
 0.1750	 	 	 	 	-0.011036
 0.2000	-0.000137	-0.001682	-0.000035	-0.000344	-0.012845
 0.2250	 	 	 	 	-0.014518
 0.2500	-0.000227	-0.001957	-0.000052	-0.000346	-0.015752
 0.2750	 	 	 	 	-0.018617
 0.3000	-0.000322	-0.001882	-0.000067	-0.000257	-0.021233
 0.3250	 	 	 	 	-0.028498
 0.3500	-0.000413	-0.001879	-0.000077	-0.000161	-0.035228
 0.3750	 	 	 	 	-0.041629
 0.4000	-0.000512	-0.002197	-0.000084	-0.000120	-0.046426
 0.4250	 	 	 	 	-0.050365
 0.4500	-0.000622	-0.002130	-0.000087	-0.000014	-0.053217
 0.4750	 	 	 	 	-0.056640
 0.5000	-0.000696	-0.000840	-0.000081	 0.000256	-0.061278
 0.5250	 	 	 	 	-0.068624
 0.5500	-0.000698	 0.000292	-0.000062	 0.000467	-0.076188
 0.5750	 	 	 	 	-0.086064
 0.6000	-0.000726	-0.001701	-0.000042	 0.000322	-0.092008
 0.6250	 	 	 	 	-0.094610
 0.6500	-0.000832	-0.000942	-0.000031	 0.000195	-0.092543
 0.6750	 	 	 	 	-0.085024
 0.7000	-0.000616	 0.009688	-0.000017	 0.000357	-0.074731
 0.7250	 	 	 	 	-0.051572
 0.7500	 0.000030	 0.013336	-0.000001	 0.000229	-0.020813
 0.7750	 	 	 	 	 0.030845
 0.8000	 0.000473	 0.005673	 0.000003	-0.000016	 0.081595
 0.8250	 	 	 	 	 0.131697
 0.8500	 0.000747	 0.005959	 0.000000	-0.000052	 0.155193
 0.8750	 	 	 	 	 0.149760
 0.9000	 0.000695	-0.011993	-0.000001	-0.000009	 0.109944
 0.9250	 	 	 	 	 0.025047
 0.9500	-0.000694	-0.036030	 0.000000	 0.000068	-0.066671
 0.9750	 	 	 	 	-0.541598
 1.0000	-0.002722	-0.046666	 0.000009	 0.000233	-0.730927
=================================================================================
